district,total_population,exposed_population,affected_population,total_gdp,economic_loss,grid_count,avg_intensity
包河区,1342000,1342000,216711,1902.9,307.29,1254,7.21
巢湖市,727000,727000,36350,669.3,33.47,8449,6.38
庐江县,884000,884000,44200,731.1,36.56,9626,6.06
庐阳区,744000,744000,269581,1323.8,479.67,547,8.11
瑶海区,901000,901000,377306,804.2,336.77,890,8.3
肥东县,916000,916000,108418,922.5,109.19,8867,6.99
肥西县,1015000,1015000,59966,1212.4,71.63,6955,6.62
蜀山区,1084000,1084000,165449,1504.6,229.64,2625,7.18
长丰县,842000,842000,118951,1038.6,146.73,7545,7.07
