district,total_population,exposed_population,affected_population,total_gdp,economic_loss,grid_count,avg_intensity
包河区,1342000,1342000,390079,1902.9,553.12,1254,7.88
巢湖市,727000,727000,98922,669.3,91.07,8449,7.05
庐江县,884000,884000,62879,731.1,52.0,9626,6.73
庐阳区,744000,744000,372000,1323.8,661.9,547,8.77
瑶海区,901000,901000,450500,804.2,402.1,890,8.96
肥东县,916000,916000,234677,922.5,236.34,8867,7.66
肥西县,1015000,1015000,195076,1212.4,233.01,6955,7.3
蜀山区,1084000,1084000,306245,1504.6,425.07,2625,7.85
长丰县,842000,842000,231609,1038.6,285.69,7545,7.74
