district,total_population,exposed_population,affected_population,total_gdp,economic_loss,grid_count,avg_intensity
包河区,1342000,1342000,670358,1902.9,950.54,1254,8.34
巢湖市,727000,727000,145994,669.3,134.41,8449,7.63
庐江县,884000,884000,176249,731.1,145.76,9626,7.34
庐阳区,744000,744000,372000,1323.8,661.9,547,9.0
瑶海区,901000,901000,450500,804.2,402.1,890,9.13
肥东县,916000,916000,367722,922.5,370.33,8867,8.16
肥西县,1015000,1015000,258121,1212.4,308.32,6955,7.85
蜀山区,1084000,1084000,525399,1504.6,729.26,2625,8.31
长丰县,842000,842000,317282,1038.6,391.36,7545,8.2
