district,total_population,exposed_population,affected_population,total_gdp,economic_loss,avg_intensity,pop_loss_rate,gdp_loss_rate
包河区,1342000,1339860,66993,1902.9,94.99,5.34,0.0499,0.0499
巢湖市,727000,1979,99,669.3,0.09,4.63,0.0001,0.0001
庐江县,884000,0,0,731.1,0.0,4.34,0.0,0.0
庐阳区,744000,744000,37200,1323.8,66.19,6.0,0.05,0.05
瑶海区,901000,901000,45050,804.2,40.21,6.13,0.05,0.05
肥东县,916000,615074,30754,922.5,30.97,5.16,0.0336,0.0336
肥西县,1015000,183736,9187,1212.4,10.97,4.85,0.0091,0.009
蜀山区,1084000,1028664,51433,1504.6,71.39,5.31,0.0474,0.0474
长丰县,842000,496272,24931,1038.6,30.75,5.2,0.0296,0.0296
