district,total_population,exposed_population,affected_population,total_gdp,economic_loss,grid_count,avg_intensity
包河区,1342000,1342000,67100,1902.9,95.14,1254,5.87
巢湖市,727000,387550,19377,669.3,17.84,8449,5.03
庐江县,884000,105610,5280,731.1,4.37,9626,4.71
庐阳区,744000,744000,69435,1323.8,123.55,547,6.77
瑶海区,901000,901000,107310,804.2,95.78,890,6.97
肥东县,916000,910628,45531,922.5,45.85,8867,5.65
肥西县,1015000,926999,46350,1212.4,55.36,6955,5.28
蜀山区,1084000,1084000,54200,1504.6,75.23,2625,5.83
长丰县,842000,802718,48673,1038.6,60.04,7545,5.72
