district,total_population,exposed_population,affected_population,total_gdp,economic_loss,avg_intensity,pop_loss_rate,gdp_loss_rate
包河区,1342000,59930,2996,1902.9,4.25,4.59,0.0022,0.0022
巢湖市,727000,0,0,669.3,0.0,3.88,0.0,0.0
庐江县,884000,0,0,731.1,0.0,3.59,0.0,0.0
庐阳区,744000,588943,29447,1323.8,52.4,5.25,0.0396,0.0396
瑶海区,901000,848357,42418,804.2,37.86,5.38,0.0471,0.0471
肥东县,916000,40289,2014,922.5,2.03,4.41,0.0022,0.0022
肥西县,1015000,0,0,1212.4,0.0,4.1,0.0,0.0
蜀山区,1084000,51619,2581,1504.6,3.58,4.56,0.0024,0.0024
长丰县,842000,113941,5697,1038.6,7.03,4.45,0.0068,0.0068
