district,total_population,exposed_population,affected_population,total_gdp,economic_loss,grid_count,avg_intensity
包河区,1342000,1342000,80584,1902.9,114.27,1254,6.54
巢湖市,727000,727000,36350,669.3,33.47,8449,5.7
庐江县,884000,882806,44140,731.1,36.51,9626,5.38
庐阳区,744000,744000,157981,1323.8,281.1,547,7.44
瑶海区,901000,901000,226060,804.2,201.77,890,7.64
肥东县,916000,916000,53687,922.5,54.07,8867,6.32
肥西县,1015000,1015000,50750,1212.4,60.62,6955,5.95
蜀山区,1084000,1084000,64792,1504.6,89.93,2625,6.5
长丰县,842000,842000,67728,1038.6,83.54,7545,6.4
