magnitude,medical_ratio,rescue_ratio,transport_ratio,shelter_ratio,medical_collapse,rescue_collapse,transport_collapse,shelter_collapse,city_collapse
5.0,0.6608,0.71,0.8985,5.8181,False,False,False,False,False
5.5,0.6455,0.5996,0.6602,2.3836,False,False,False,False,False
6.0,0.6009,0.4481,0.6058,1.2144,False,False,False,False,False
6.5,0.5681,0.381,0.585,0.636,False,True,False,False,True
7.0,0.2676,0.3333,0.5729,0.3583,True,True,False,False,True
7.5,0.2347,0.303,0.5566,0.2333,True,True,False,True,True
