district,total_population,exposed_population,affected_population,total_gdp,economic_loss,avg_intensity,pop_loss_rate,gdp_loss_rate
包河区,1342000,1342000,115418,1902.9,163.66,6.84,0.086,0.086
巢湖市,727000,727000,36350,669.3,33.47,6.13,0.05,0.05
庐江县,884000,884000,44200,731.1,36.56,5.84,0.05,0.05
庐阳区,744000,744000,162469,1323.8,289.08,7.5,0.2184,0.2184
瑶海区,901000,901000,205408,804.2,183.34,7.63,0.228,0.228
肥东县,916000,916000,66781,922.5,67.26,6.66,0.0729,0.0729
肥西县,1015000,1015000,51056,1212.4,60.99,6.35,0.0503,0.0503
蜀山区,1084000,1084000,87897,1504.6,122.0,6.81,0.0811,0.0811
长丰县,842000,842000,76567,1038.6,94.44,6.7,0.0909,0.0909
