district,total_population,exposed_population,affected_population,total_gdp,economic_loss,avg_intensity,pop_loss_rate,gdp_loss_rate
包河区,1342000,1342000,286379,1902.9,406.07,7.59,0.2134,0.2134
巢湖市,727000,727000,65997,669.3,60.76,6.88,0.0908,0.0908
庐江县,884000,884000,46376,731.1,38.36,6.59,0.0525,0.0525
庐阳区,744000,744000,325483,1323.8,579.13,8.25,0.4375,0.4375
瑶海区,901000,901000,434707,804.2,388.0,8.38,0.4825,0.4825
肥东县,916000,916000,182580,922.5,183.88,7.41,0.1993,0.1993
肥西县,1015000,1015000,154052,1212.4,184.01,7.1,0.1518,0.1518
蜀山区,1084000,1084000,232286,1504.6,322.41,7.56,0.2143,0.2143
长丰县,842000,842000,180319,1038.6,222.42,7.45,0.2142,0.2142
