district,total_population,exposed_population,affected_population,total_gdp,economic_loss,avg_intensity,pop_loss_rate,gdp_loss_rate
包河区,1342000,1342000,67100,1902.9,95.14,6.09,0.05,0.05
巢湖市,727000,727000,36350,669.3,33.47,5.38,0.05,0.05
庐江县,884000,553395,27670,731.1,22.88,5.09,0.0313,0.0313
庐阳区,744000,744000,57806,1323.8,102.85,6.75,0.0777,0.0777
瑶海区,901000,901000,85443,804.2,76.26,6.88,0.0948,0.0948
肥东县,916000,916000,45800,922.5,46.12,5.91,0.05,0.05
肥西县,1015000,1015000,50750,1212.4,60.62,5.6,0.05,0.05
蜀山区,1084000,1084000,54200,1504.6,75.23,6.06,0.05,0.05
长丰县,842000,842000,46821,1038.6,57.75,5.95,0.0556,0.0556
